ID,U0,U1,U2,U3,U4,U5,U6,U7,U8,PX0,PY0,PX1,PY1,PX2,PY2,PX3,PY3,PX4,PY4
0,0,0,0,0,0.0705456,1,1,1,1,0.203011,0.749859,0.625336,0.0989147,0.62882,0.3507,0.646394,0.760044,0.102706,0.722976
1,0,0,0,0,0.967083,1,1,1,1,0.112303,0.672972,0.341628,0.91827,0.44295,0.148887,0.150554,0.200479,0.0101341,0.0762341
2,0,0,0,0,0.108938,1,1,1,1,0.83077,0.231146,0.633619,0.926167,0.0974204,0.730241,0.954692,0.359079,0.56956,0.157702
3,0,0,0,0,0.298959,1,1,1,1,0.194896,0.256617,0.737759,0.545596,0.903011,0.497802,0.648302,0.625987,0.568348,0.760605
4,0,0,0,0,0.136809,1,1,1,1,0.909976,0.678875,0.741909,0.0588631,0.829429,0.942388,0.0689972,0.905663,0.909472,0.899768
5,0,0,0,0,0.194946,1,1,1,1,0.54309,0.825935,0.23423,0.273332,0.780626,0.593309,0.842892,0.938329,0.702247,0.0377875
6,0,0,0,0,0.671166,1,1,1,1,0.440006,0.583384,0.097957,0.937808,0.231686,0.723944,0.506156,0.992291,0.0229036,0.416131
7,0,0,0,0,0.269694,1,1,1,1,0.764813,0.474994,0.500595,0.707201,0.543992,0.406258,0.616673,0.443759,0.543067,0.159763
8,0,0,0,0,0.897157,1,1,1,1,0.777297,0.433094,0.0503204,0.370605,0.275986,0.988649,0.072852,0.313774,0.183595,0.512858
9,0,0,0,0,0.847947,1,1,1,1,0.281552,0.450665,0.128843,0.00549638,0.956821,0.121134,0.0283999,0.372953,0.7923,0.793213
10,0,0,0,0,0.709944,1,1,1,1,0.292895,0.500414,0.391939,0.699152,0.117087,0.835698,0.242219,0.27685,0.105392,0.0195159
11,0,0,0,0,0.426496,1,1,1,1,0.155712,0.390121,0.98593,0.144361,0.462973,0.299704,0.327957,0.975831,0.196861,0.609509
12,0,0,0,0,0.937032,1,1,1,1,0.325704,0.615005,0.383317,0.446838,0.643405,0.75627,0.239137,0.436618,0.604217,0.532032
13,0,0,0,0,0.88304,1,1,1,1,0.996155,0.231184,0.0541191,0.831853,0.473403,0.330969,0.937245,0.492919,0.0409132,0.0929572
14,0,0,0,0,0.789789,1,1,1,1,0.0268435,0.237319,0.346014,0.326547,0.565275,0.321844,0.523408,0.174784,0.74834,0.849112
15,0,0,0,0,0.298303,1,1,1,1,0.131657,0.29595,0.433195,0.887927,0.535087,0.869813,0.492144,0.0671188,0.806845,0.488299
16,0,0,0,0,0.587673,1,1,1,1,0.860964,0.320152,0.771706,0.191933,0.257397,0.264626,0.232846,0.350354,0.147666,0.25969
17,0,0,0,0,0.254707,1,1,1,1,0.49368,0.586237,0.152948,0.815524,0.109645,0.327732,0.563864,0.958757,0.117522,0.695521
