ID,U0,U1,U2,U3,U4,U5,U6,U7,U8,U9,U10,PX0,PY0,PX1,PY1,PX2,PY2,PX3,PY3,PX4,PY4,PX5,PY5,PX6,PY6
20000,0,0,0,0,0.148887,0.44295,0.91827,1,1,1,1,0.203011,0.749859,0.625336,0.0989147,0.62882,0.3507,0.646394,0.760044,0.102706,0.722976,0.0705456,0.112303,0.672972,0.341628
20001,0,0,0,0,0.108938,0.157702,0.194896,1,1,1,1,0.150554,0.200479,0.0101341,0.0762341,0.967083,0.83077,0.231146,0.633619,0.926167,0.0974204,0.730241,0.954692,0.359079,0.56956
20002,0,0,0,0,0.0689972,0.829429,0.942388,1,1,1,1,0.256617,0.737759,0.545596,0.903011,0.497802,0.648302,0.625987,0.568348,0.760605,0.298959,0.909976,0.678875,0.741909,0.0588631
20003,0,0,0,0,0.194946,0.440006,0.583384,1,1,1,1,0.905663,0.909472,0.899768,0.136809,0.54309,0.825935,0.23423,0.273332,0.780626,0.593309,0.842892,0.938329,0.702247,0.0377875
20004,0,0,0,0,0.406258,0.443759,0.616673,1,1,1,1,0.097957,0.937808,0.231686,0.723944,0.506156,0.992291,0.0229036,0.416131,0.671166,0.764813,0.474994,0.500595,0.707201,0.543992
20005,0,0,0,0,0.128843,0.281552,0.450665,1,1,1,1,0.543067,0.159763,0.269694,0.777297,0.433094,0.0503204,0.370605,0.275986,0.988649,0.072852,0.313774,0.183595,0.512858,0.897157
20006,0,0,0,0,0.105392,0.242219,0.27685,1,1,1,1,0.00549638,0.956821,0.121134,0.0283999,0.372953,0.7923,0.793213,0.847947,0.292895,0.500414,0.391939,0.699152,0.117087,0.835698
20007,0,0,0,0,0.383317,0.446838,0.615005,1,1,1,1,0.0195159,0.709944,0.155712,0.390121,0.98593,0.144361,0.462973,0.299704,0.327957,0.975831,0.196861,0.609509,0.426496,0.325704
20008,0,0,0,0,0.0409132,0.0929572,0.492919,1,1,1,1,0.643405,0.75627,0.239137,0.436618,0.604217,0.532032,0.937032,0.996155,0.231184,0.0541191,0.831853,0.473403,0.330969,0.937245
20009,0,0,0,0,0.433195,0.535087,0.887927,1,1,1,1,0.88304,0.0268435,0.237319,0.346014,0.326547,0.565275,0.321844,0.523408,0.174784,0.74834,0.849112,0.789789,0.131657,0.29595
20010,0,0,0,0,0.147666,0.25969,0.587673,1,1,1,1,0.869813,0.492144,0.0671188,0.806845,0.488299,0.298303,0.860964,0.320152,0.771706,0.191933,0.257397,0.264626,0.232846,0.350354
20011,0,0,0,0,0.075592,0.420529,0.856913,1,1,1,1,0.49368,0.586237,0.152948,0.815524,0.109645,0.327732,0.563864,0.958757,0.117522,0.695521,0.254707,0.550717,0.583448,0.789794
20012,0,0,0,0,0.232416,0.359045,0.832894,1,1,1,1,0.227374,0.563891,0.155216,0.0883386,0.884043,0.926922,0.280272,0.14144,0.191548,0.513118,0.491795,0.339214,0.772808,0.0794676
20013,0,0,0,0,0.130735,0.484078,0.876291,1,1,1,1,0.648418,0.46869,0.560148,0.212282,0.427448,0.67767,0.907803,0.682155,0.228387,0.491252,0.471949,0.648916,0.566844,0.328862
20014,0,0,0,0,0.358562,0.423074,0.520044,1,1,1,1,0.964629,0.0147778,0.411001,0.244901,0.156218,0.602549,0.758019,0.648013,0.941763,0.530827,0.72748,0.774657,0.889872,0.959896
20015,0,0,0,0,0.164056,0.746767,0.915938,1,1,1,1,0.635356,0.78601,0.197715,0.543159,0.468165,0.426102,0.0344109,0.940115,0.0750179,0.601255,0.268977,0.951309,0.731989,0.753055
20016,0,0,0,0,0.484131,0.541454,0.956133,1,1,1,1,0.160839,0.902985,0.766604,0.918859,0.550998,0.708367,0.449686,0.278478,0.483024,0.339558,0.238374,0.906098,0.698121,0.758419
20017,0,0,0,0,0.10202,0.485339,0.845102,1,1,1,1,0.0846135,0.952296,0.382235,0.119024,0.892411,0.457253,0.720279,0.161388,0.408561,0.452268,0.914443,0.3245,0.199035,0.0784981
20018,0,0,0,0,0.266657,0.32799,0.568658,1,1,1,1,0.404198,0.653018,0.553469,0.853884,0.931496,0.0364925,0.193442,0.16987,0.94259,0.891563,0.928289,0.484045,0.375694,0.884422
20019,0,0,0,0,0.346508,0.7733,0.814303,1,1,1,1,0.687683,0.220401,0.72391,0.407962,0.381788,0.132471,0.86023,0.296231,0.456971,0.0592648,0.374729,0.94231,0.161285,0.219831
20020,0,0,0,0,0.209481,0.492768,0.718946,1,1,1,1,0.200392,0.745799,0.809792,0.393834,0.915669,0.752383,0.285396,0.843958,0.236427,0.66109,0.72838,0.805086,0.98908,0.995037
