ID,U0,U1,U2,U3,U4,U5,U6,U7,U8,U9,U10,U11,PX0,PY0,PX1,PY1,PX2,PY2,PX3,PY3,PX4,PY4,PX5,PY5,PX6,PY6,PX7,PY7
30000,0,0,0,0,0.0101341,0.0762341,0.150554,0.200479,1,1,1,1,0.203011,0.749859,0.625336,0.0989147,0.62882,0.3507,0.646394,0.760044,0.102706,0.722976,0.0705456,0.112303,0.672972,0.341628,0.91827,0.44295
30001,0,0,0,0,0.497802,0.625987,0.648302,0.903011,1,1,1,1,0.967083,0.83077,0.231146,0.633619,0.926167,0.0974204,0.730241,0.954692,0.359079,0.56956,0.157702,0.108938,0.194896,0.256617,0.737759,0.545596
30002,0,0,0,0,0.23423,0.273332,0.593309,0.780626,1,1,1,1,0.568348,0.760605,0.298959,0.909976,0.678875,0.741909,0.0588631,0.829429,0.942388,0.0689972,0.905663,0.909472,0.899768,0.136809,0.54309,0.825935
30003,0,0,0,0,0.474994,0.500595,0.707201,0.764813,1,1,1,1,0.842892,0.938329,0.702247,0.0377875,0.194946,0.440006,0.583384,0.097957,0.937808,0.231686,0.723944,0.506156,0.992291,0.0229036,0.416131,0.671166
30004,0,0,0,0,0.281552,0.450665,0.512858,0.897157,1,1,1,1,0.543992,0.406258,0.616673,0.443759,0.543067,0.159763,0.269694,0.777297,0.433094,0.0503204,0.370605,0.275986,0.988649,0.072852,0.313774,0.183595
30005,0,0,0,0,0.0195159,0.105392,0.27685,0.709944,1,1,1,1,0.128843,0.00549638,0.956821,0.121134,0.0283999,0.372953,0.7923,0.793213,0.847947,0.292895,0.500414,0.391939,0.699152,0.117087,0.835698,0.242219
30006,0,0,0,0,0.239137,0.436618,0.604217,0.75627,1,1,1,1,0.155712,0.390121,0.98593,0.144361,0.462973,0.299704,0.327957,0.975831,0.196861,0.609509,0.426496,0.325704,0.615005,0.383317,0.446838,0.643405
30007,0,0,0,0,0.174784,0.326547,0.523408,0.565275,1,1,1,1,0.532032,0.937032,0.996155,0.231184,0.0541191,0.831853,0.473403,0.330969,0.937245,0.492919,0.0409132,0.0929572,0.88304,0.0268435,0.237319,0.346014
30008,0,0,0,0,0.191933,0.232846,0.264626,0.771706,1,1,1,1,0.74834,0.849112,0.789789,0.131657,0.29595,0.433195,0.887927,0.535087,0.869813,0.492144,0.0671188,0.806845,0.488299,0.298303,0.860964,0.320152
30009,0,0,0,0,0.075592,0.420529,0.583448,0.789794,1,1,1,1,0.350354,0.147666,0.25969,0.587673,0.49368,0.586237,0.152948,0.815524,0.109645,0.327732,0.563864,0.958757,0.117522,0.695521,0.254707,0.550717
30010,0,0,0,0,0.232416,0.359045,0.46869,0.648418,1,1,1,1,0.856913,0.227374,0.563891,0.155216,0.0883386,0.884043,0.926922,0.280272,0.14144,0.191548,0.513118,0.491795,0.339214,0.772808,0.0794676,0.832894
30011,0,0,0,0,0.0147778,0.156218,0.244901,0.411001,1,1,1,1,0.560148,0.212282,0.427448,0.67767,0.907803,0.682155,0.228387,0.491252,0.471949,0.648916,0.566844,0.328862,0.876291,0.130735,0.484078,0.964629
30012,0,0,0,0,0.0344109,0.426102,0.468165,0.940115,1,1,1,1,0.602549,0.758019,0.648013,0.941763,0.530827,0.72748,0.774657,0.889872,0.959896,0.423074,0.358562,0.520044,0.635356,0.78601,0.197715,0.543159
30013,0,0,0,0,0.238374,0.278478,0.339558,0.483024,1,1,1,1,0.0750179,0.601255,0.268977,0.951309,0.731989,0.753055,0.915938,0.746767,0.164056,0.160839,0.902985,0.766604,0.918859,0.550998,0.708367,0.449686
30014,0,0,0,0,0.0784981,0.199035,0.3245,0.914443,1,1,1,1,0.906098,0.698121,0.758419,0.541454,0.484131,0.956133,0.0846135,0.952296,0.382235,0.119024,0.892411,0.457253,0.720279,0.161388,0.408561,0.452268
30015,0,0,0,0,0.266657,0.32799,0.568658,0.884422,1,1,1,1,0.485339,0.10202,0.845102,0.404198,0.653018,0.553469,0.853884,0.931496,0.0364925,0.193442,0.16987,0.94259,0.891563,0.928289,0.484045,0.375694
30016,0,0,0,0,0.200392,0.745799,0.7733,0.809792,1,1,1,1,0.687683,0.220401,0.72391,0.407962,0.381788,0.132471,0.86023,0.296231,0.456971,0.0592648,0.374729,0.94231,0.161285,0.219831,0.346508,0.814303
30017,0,0,0,0,0.308388,0.760959,0.851417,0.887499,1,1,1,1,0.393834,0.915669,0.752383,0.285396,0.843958,0.236427,0.66109,0.72838,0.805086,0.98908,0.995037,0.492768,0.209481,0.718946,0.90073,0.591269
30018,0,0,0,0,0.0296173,0.0539616,0.137918,0.859047,1,1,1,1,0.820224,0.262228,0.250698,0.981509,0.482059,0.597206,0.795812,0.255359,0.797598,0.541611,0.0651513,0.191431,0.45728,0.817534,0.476828,0.301238
30019,0,0,0,0,0.548908,0.611049,0.75131,0.814892,1,1,1,1,0.126997,0.024654,0.351815,0.336478,0.7436,0.252545,0.927747,0.595018,0.0135042,0.815246,0.903406,0.833728,0.077474,0.154104,0.815237,0.559533
30020,0,0,0,0,0.214946,0.22845,0.304067,0.746307,1,1,1,1,0.15266,0.880043,0.740339,0.60994,0.697577,0.217167,0.911178,0.751539,0.355084,0.940795,0.610586,0.482082,0.965449,0.962401,0.81856,0.709049
30021,0,0,0,0,0.162243,0.34261,0.619302,0.974386,1,1,1,1,0.561552,0.207473,0.0621787,0.639026,0.361577,0.877416,0.198559,0.112888,0.488466,0.0134511,0.661796,0.641126,0.893494,0.402135,0.251066,0.591071
30022,0,0,0,0,0.298589,0.420473,0.763542,0.787054,1,1,1,1,0.103038,0.953196,0.456468,0.0684871,0.915597,0.275028,0.777536,0.130544,0.0213347,0.0816033,0.358994,0.582887,0.289076,0.421173,0.221914,0.650654
30023,0,0,0,0,0.152658,0.173992,0.260437,0.790551,1,1,1,1,0.433924,0.425338,0.42818,0.327418,0.827473,0.679246,0.91849,0.446775,0.841489,0.2611,0.421161,0.944528,0.214296,0.877629,0.0130146,0.129893
30024,0,0,0,0,0.0790978,0.233673,0.275011,0.340197,1,1,1,1,0.872154,0.619431,0.756879,0.161231,0.0406038,0.978793,0.811884,0.339193,0.399266,0.575426,0.126247,0.83319,0.000763819,0.554427,0.160608,0.828237
30025,0,0,0,0,0.0353898,0.243951,0.668525,0.944051,1,1,1,1,0.696173,0.0196902,0.554493,0.573802,0.0327048,0.684386,0.72646,0.823256,0.944823,0.900452,0.69541,0.564254,0.657331,0.856641,0.604858,0.636124
30026,0,0,0,0,0.344397,0.632186,0.687363,0.809212,1,1,1,1,0.0702981,0.86858,0.244715,0.624725,0.029188,0.0729516,0.858399,0.108286,0.347963,0.933561,0.448483,0.0441356,0.953252,0.00297643,0.617938,0.985956
