ID,U0,U1,U2,U3,U4,U5,U6,U7,U8,U9,U10,U11,U12,U13,U14,U15,PX0,PY0,PX1,PY1,PX2,PY2,PX3,PY3,PX4,PY4,PX5,PY5,PX6,PY6,PX7,PY7,PX8,PY8,PX9,PY9,PX10,PY10,PX11,PY11
70000,0,0,0,0,0.146247,0.156063,0.343086,0.401344,0.52682,0.584074,0.784393,0.888441,1,1,1,1,0.0572533,0.658407,0.421842,0.413971,0.557556,0.564226,0.501241,0.048866,0.899553,0.300106,0.0727276,0.76399,0.565073,0.38482,0.397844,0.39135,0.320359,0.900674,0.380047,0.659968,0.131989,0.254729,0.519311,0.5828
70001,0,0,0,0,0.13502,0.256703,0.291083,0.367597,0.554274,0.603374,0.749621,0.783523,1,1,1,1,0.804654,0.577905,0.998044,0.36221,0.142131,0.499285,0.411076,0.041684,0.799391,0.483804,0.805674,0.364464,0.868624,0.203518,0.755814,0.188983,0.104192,0.135861,0.848951,0.236181,0.39059,0.368262,0.818981,0.733676
70002,0,0,0,0,0.128618,0.179744,0.339815,0.470827,0.494008,0.574344,0.824724,0.859649,1,1,1,1,0.868988,0.365641,0.916484,0.0111193,0.864926,0.327561,0.0528033,0.664318,0.811364,0.858477,0.0287817,0.679988,0.0619956,0.784596,0.868971,0.166188,0.920457,0.717922,0.402369,0.311048,0.0861845,0.22135,0.0447239,0.342888
70003,0,0,0,0,0.12907,0.360049,0.468885,0.5004,0.513185,0.641803,0.686906,0.819819,1,1,1,1,0.0451028,0.350934,0.724575,0.372663,0.403738,0.388893,0.184028,0.262215,0.417675,0.864016,0.324211,0.202271,0.732987,0.490398,0.122728,0.450909,0.892767,0.433775,0.537094,0.114117,0.478499,0.879981,0.93884,0.658243
70004,0,0,0,0,0.0879991,0.204481,0.215376,0.384662,0.401093,0.575425,0.660048,0.915777,1,1,1,1,0.0846236,0.0595691,0.223557,0.473516,0.243597,0.485772,0.891191,0.107612,0.809983,0.0934616,0.840599,0.300381,0.216189,0.291509,0.193148,0.649965,0.828602,0.307265,0.128464,0.708584,0.246106,0.786707,0.714976,0.75929
70005,0,0,0,0,0.0190757,0.0984235,0.166644,0.199981,0.333896,0.404461,0.673848,0.931077,1,1,1,1,0.147568,0.428038,0.133565,0.391165,0.91381,0.0247556,0.498777,0.723793,0.118217,0.339376,0.0241741,0.334407,0.630885,0.217322,0.984371,0.459488,0.524587,0.112835,0.168071,0.770693,0.899542,0.883047,0.529983,0.815319
70006,0,0,0,0,0.193849,0.309725,0.36135,0.467939,0.487015,0.643622,0.653659,0.956888,1,1,1,1,0.832499,0.467461,0.557809,0.746309,0.492217,0.056586,0.470102,0.610434,0.395962,0.494276,0.94484,0.0268474,0.711599,0.929211,0.486335,0.236186,0.0420465,0.654406,0.00687902,0.941589,0.537454,0.536862,0.756907,0.635877
70007,0,0,0,0,0.069365,0.146565,0.216141,0.314661,0.340414,0.351016,0.785215,0.958282,1,1,1,1,0.111083,0.211467,0.940158,0.603299,0.268053,0.41026,0.213733,0.664016,0.904536,0.158573,0.690863,0.616135,0.0877847,0.177198,0.852321,0.129831,0.831604,0.8592,0.0714198,0.369058,0.396062,0.828327,0.00493553,0.864001
70008,0,0,0,0,0.0941132,0.236842,0.434527,0.494813,0.538776,0.564178,0.715098,0.754917,1,1,1,1,0.280572,0.672664,0.484195,0.690832,0.886397,0.14821,0.595368,0.0449702,0.839074,0.211503,0.132755,0.0162716,0.0638236,0.262586,0.847876,0.923023,0.334006,0.216934,0.319085,0.162333,0.22187,0.183086,0.947548,0.536531
70009,0,0,0,0,0.124869,0.251176,0.361711,0.484951,0.536078,0.560691,0.657106,0.774698,1,1,1,1,0.239112,0.40593,0.123239,0.387322,0.00129822,0.168209,0.226396,0.212801,0.300964,0.242667,0.276625,0.56355,0.0905435,0.199648,0.897556,0.307478,0.518733,0.0598893,0.529347,0.70182,0.00743765,0.0658781,0.235922,0.101551
